userID,name,password,latitude,longitude,type
1,Admin,xyz,98.3812,37.46294,admin
2,Amy,xyz,42.96338,58.46449,customer
3,Bob,xyz,96.71546,10.52234,customer
4,Marshall.Johns,xyz,92.67378,71.06023,customer
5,Natalie_Braun,xyz,38.11172,47.43528,customer
6,Sid_Stamm,xyz,15.55564,95.29357,customer
7,Ebba.Erdman,xyz,27.03706,51.20702,customer
8,Ruthie,xyz,43.55526,20.42297,customer
9,Reilly.Parisian,xyz,60.62593,87.03071,customer
10,Paige,xyz,94.08814,31.75817,manager
11,Stanton_Klocko,xyz,27.61217,25.95964,customer
12,Kobe,xyz,51.69743,94.4358,customer
13,Ellis,xyz,55.3585,46.31552,customer
14,Twila,xyz,89.88604,21.75982,customer
15,Katherine_Franecki,xyz,79.53495,43.14405,customer
16,Laverna,xyz,39.54581,64.19616,customer
17,Amina,xyz,57.01657,44.55014,customer
18,Glenna.Langworth,xyz,62.19013,36.84006,customer
19,Mckenna,xyz,4.78547,53.67636,customer
20,Karianne,xyz,23.40207,88.99478,manager
21,Jeanie,xyz,32.24758,12.1415,customer
22,Myrtice.Heathcote,xyz,59.17767,70.07047,customer
23,Schuyler,xyz,29.21214,43.55521,customer
24,Elian,xyz,78.18598,78.15121,customer
25,Luz,xyz,0.03835,26.01894,manager
26,Jacquelyn,xyz,36.20693,52.25244,customer
27,Fern.Schmeler,xyz,37.88599,52.5314,customer
28,Brandt,xyz,50.10396,79.93478,customer
29,Randy_Morar,xyz,45.18236,98.87914,customer
30,Jerome.Klocko,xyz,65.14553,7.99691,customer
31,Newell,xyz,12.16222,14.56759,customer
32,Audra,xyz,27.73567,25.59918,customer
33,Marjolaine.Hamill,xyz,81.8392,95.10537,customer
34,Fermin.Runolfsson,xyz,72.76454,23.79986,customer
35,Camron_Howe,xyz,15.89478,81.42553,customer
36,Hal_Mills,xyz,19.54255,53.12671,customer
37,Janelle.Schneider,xyz,68.19148,39.98368,customer
38,Everardo,xyz,14.61849,58.45369,customer
39,Delpha.Hand,xyz,72.14591,12.84166,customer
40,Aubrey,xyz,74.42523,71.13329,manager
41,Sonya,xyz,19.12585,38.60686,customer
42,Christa,xyz,48.63742,82.64273,customer
43,Ransom_Ankunding,xyz,48.88915,43.26317,customer
44,Darlene,xyz,98.67003,82.21847,customer
45,Christelle.Hirthe,xyz,56.32009,5.20965,customer
46,Maye,xyz,12.54718,7.2681,customer
47,Ellis_Kub,xyz,56.68208,51.16716,customer
48,Bernard.Lubowitz,xyz,93.60579,92.98973,customer
49,Isac,xyz,19.05226,0.68775,customer
50,Eve.Mayert,xyz,61.91158,76.17792,customer
51,Rozella,xyz,73.38506,39.01274,manager
52,Anabel,xyz,77.96847,84.46254,customer
53,Lamar,xyz,4.98824,6.80959,customer
54,Addison,xyz,85.26606,59.35114,customer
55,Sherman_Kuphal,xyz,35.93705,46.49226,customer
56,Emelia.Runte,xyz,20.44705,75.89346,customer
57,Gerardo,xyz,28.91234,21.75886,customer
58,Alejandra,xyz,33.38538,8.5598,customer
59,Fiona_Kuhn,xyz,96.22006,9.70981,customer
60,Viola.Tillman,xyz,22.46003,64.69352,customer
61,Reta_Brown,xyz,99.08256,8.45418,customer
62,Lexi,xyz,71.77517,65.61302,customer
63,Joyce.Roob,xyz,98.51165,52.96819,customer
64,Tyshawn,xyz,91.8474,98.3332,customer
65,Eryn,xyz,67.03915,24.18058,customer
66,Lester,xyz,12.12109,59.01356,customer
67,Leland,xyz,56.25804,84.3091,customer
68,Erica,xyz,87.92514,30.36873,customer
69,Jena,xyz,7.62192,10.16237,customer
70,Loma.Larkin,xyz,90.30687,71.58954,customer
71,Juston,xyz,91.91779,87.58873,customer
72,Dina,xyz,44.55473,37.16296,customer
73,Lane,xyz,7.02491,75.11484,customer
74,Rose,xyz,48.60137,74.19902,customer
75,Favian.Kohler,xyz,89.8158,40.97182,customer
76,Rebeka,xyz,37.56246,56.69611,customer
77,Willis.Pacocha,xyz,56.05712,19.85418,customer
78,Furman,xyz,31.7674,12.47741,customer
79,Broderick_Pfannerstill,xyz,66.12425,78.00034,customer
80,Fannie_Welch,xyz,95.62042,48.30407,customer
81,Doug_Nitzsche,xyz,99.41038,55.981,customer
82,Sincere,xyz,97.4491,18.03656,customer
83,Dino.Paucek,xyz,23.51057,91.49318,customer
84,Darren.Boyer,xyz,36.57445,28.327,customer
85,Marguerite,xyz,21.56869,29.31276,customer
86,Abigayle_Cole,xyz,55.6452,72.3111,customer
87,Clotilde,xyz,57.1729,31.64531,manager
88,Carrie_Kuhn,xyz,34.76219,82.50044,customer
89,Megane_Little,xyz,70.08354,63.27517,customer
90,Darrel.Konopelski,xyz,77.98735,78.83546,customer
91,Roberta_Erdman,xyz,55.29341,75.87421,customer
92,Garrett,xyz,67.42876,91.78513,customer
93,Dedric,xyz,26.07742,54.56988,customer
94,Nicholaus_Frami,xyz,95.19632,9.8829,customer
95,Fritz,xyz,97.99819,14.22132,customer
96,Domenico,xyz,65.37079,20.44995,customer
97,Santino,xyz,63.75384,52.89723,customer
98,Chase,xyz,30.21212,66.65503,customer
99,Abdullah,xyz,93.35316,65.87955,customer
100,Maci_Powlowski,xyz,25.36579,27.85987,customer
